productid,avg_score,num_reviews
B0000DIXL4,2.0,1
B0000DIYHQ,5.0,1
B0000DIYHV,4.5,2
B0000DIYHW,4.2,5
B0000DIYHY,4.333333333333333,3
B0000DIYI1,1.0,1
B0000DIYIC,5.0,1
B0000DIYIH,4.0,2
B0000DIYII,4.0,2
B0000DIYIJ,4.5,2
B0000DIYIN,5.0,1
B0000DIYK0,4.8,10
B0000DIYK2,4.5,2
B0000DIYK3,5.0,1
B0000DIYK4,5.0,1
B0000DIYKD,4.181818181818182,11
B0000DIYKE,4.875,8
B0000DIYKF,1.0,2
B0000DIYU6,5.0,1
B0000DIYUA,4.0,1
B0000DIYUK,4.0,1
B0000DIYUV,5.0,1
B0000DIYUZ,4.75,4
B0000DIYVM,4.0,4
B0000DIYW9,5.0,2
B0000DIYWO,5.0,1
B0000DIYWZ,5.0,1
B0000DIYX3,1.0,1
B0000DIZ6N,5.0,2
B0000DJ4BQ,3.0,1
B0000DJ6NG,4.111111111111111,9
B0000DJ6NH,4.2,5
B0000DJ6NI,4.5,2
B0000DJ7RJ,5.0,2
B0000DJ7RX,4.107142857142857,28
B0000DJ7SA,5.0,1
B0000DJ7SD,2.5714285714285716,7
B0000DJ7SJ,2.0,1
B0000DJ7SP,2.0,1
B0000DJ7SR,4.107142857142857,28
B0000DJ7SW,4.909090909090909,11
B0000DJ7SX,5.0,2
B0000DJ7TL,4.107142857142857,28
B0000DJ7U0,3.0,1
B0000DJ7UH,2.6666666666666665,3
B0000DJ7UL,1.0,1
B0000DJ7WI,2.6666666666666665,3
B0000DJ7Y8,4.5,2
B0000DJ7YR,4.8,5
B0000DJ7YT,2.5714285714285716,7
B0000DJ7YW,4.8,5
B0000DJ7Z6,4.909090909090909,11
B0000DJ7ZA,4.0,1
B0000DJ803,4.0,1
B0000DJ80M,4.0,1
B0000DJ80Q,4.0,1
B0000DJ814,2.0,1
B0000DJ83F,5.0,2
B0000DJ878,4.5,2
B0000DJ87O,2.0,1
B0000DJ87Q,2.0,1
B0000DJ88P,4.0,1
B0000DJ88R,4.0,1
B0000DJ89S,4.333333333333333,3
B0000DJ89V,3.2777777777777777,18
B0000DJ8BQ,1.0,1
B0000DJ8BW,2.5714285714285716,7
B0000DJ9LW,5.0,3
B0000DJDHK,3.0,8
B0000DJDHN,2.888888888888889,9
B0000DJDJR,4.0,3
